date,maxtp,mintp,rain,people_vaccinated,total_boosters,congestion,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,Retail and Recreation,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,Daily_Confirmed,Wate Qty
11-Dec-20,9.8,4.9,0.9,0,0,54,2,2,2,4,1,2,1,2,-23,7,0,-45,-40,15,97,45.64
12-Dec-20,7,1.9,0.2,0,0,35,2,2,2,4,1,2,1,2,-25,6,21,-33,-8,6,116,57.38
13-Dec-20,13,5.6,9.8,0,0,22,2,2,2,4,1,2,1,2,-28,-4,-20,-39,-10,8,77,3.44
14-Dec-20,10.2,6.9,1.2,0,0,45,2,2,2,4,1,2,1,2,-15,5,5,-47,-43,15,80,50.7
15-Dec-20,9.7,4.9,0.7,0,0,47,2,2,2,4,1,2,1,2,-15,12,18,-45,-41,14,132,65.9
16-Dec-20,10.5,6.3,6.8,0,0,51,2,2,2,4,1,2,1,2,-18,8,-12,-47,-41,16,149,80.26
17-Dec-20,12.6,5.5,2.3,0,0,55,2,2,2,4,1,2,1,2,-17,10,-1,-43,-41,15,192,54.94
18-Dec-20,14.1,7,1.9,0,0,65,2,2,2,4,1,2,1,2,-21,8,-3,-39,-40,14,192,53.3
19-Dec-20,9.6,5.3,0,0,0,31,2,2,2,4,1,2,1,2,-27,6,1,-30,-7,5,280,62.32
20-Dec-20,7.1,4.8,0,0,0,27,2,2,2,4,1,2,1,2,-20,4,5,-28,0,5,311,17.58
21-Dec-20,9.6,2.2,2.6,0,0,51,2,2,2,4,1,2,1,2,0,18,-10,-42,-46,13,349,53.1
22-Dec-20,6.7,0.3,1.7,0,0,50,2,2,2,4,1,2,1,3,7,34,21,-39,-47,13,299,67.24
23-Dec-20,6.4,2.3,13.8,0,0,42,2,2,2,4,1,2,1,3,-2,37,-24,-47,-57,17,336,62.54
24-Dec-20,5.2,-1.6,0,0,0,28,2,2,2,3,1,1,1,3,-31,19,2,-61,-72,23,359,53.64
25-Dec-20,7.5,-0.9,0,0,0,7,2,2,2,3,1,1,1,3,-95,-91,-40,-92,-87,31,343,8.42
26-Dec-20,8.6,5.9,14.5,0,0,10,2,2,2,3,1,1,1,3,-82,-63,-44,-75,-52,14,247,9.84
27-Dec-20,6.2,1.2,4.1,0,0,15,2,3,2,4,1,1,2,3,-60,-27,-26,-61,-22,11,292,16.58
28-Dec-20,5.3,2.7,1.2,160,0,15,2,3,2,4,1,1,2,3,-47,-23,-22,-70,-80,28,444,69.72
29-Dec-20,5.8,1.1,0.3,231,0,23,2,3,2,4,1,1,2,3,-39,-6,48,-65,-74,25,360,39.04
30-Dec-20,2.8,-1.5,0,1283,0,25,3,3,2,4,1,1,2,3,-37,1,16,-64,-72,27,496,72.3
31-Dec-20,4.7,-1.7,1.7,2308,0,21,3,3,2,4,1,1,2,3,-48,1,-25,-72,-75,30,523,39.74
